area_id,postal_code,area_name,municipality_code,lat,lon,population_final,employed_residents_final,estimated_commuters_base,estimated_car_commute_share,estimated_switchers,jspi_score,jspi_score_original,jspi_score_v2,national_absolute_potential_score,national_absolute_potential_rank,underused_transit_potential_score,underused_transit_potential_rank,primary_analysis_view,potential_persons_score,underuse_score,car_pressure_score,emission_congestion_score,ad_feasibility_score,public_transport_service_score,accessibility_score,travel_time_competitiveness_score_final,nearest_transit_stop_distance_m,rail_nearest_distance_m,liipi_nearest_distance_m,recommended_campaign_type,recommendation_reason,message_angle,data_confidence_score,data_confidence_level,commuting_data_source,confidence_missing_reasons,rank,hotspot_source_view,hotspot_rank,priority,campaign_lat,campaign_lon,campaign_point_type
00730,00730,Tapanila,091,60.26568746852462,25.01591389966696,11738.0,5456.0,1909.6,0.7241428934984777,1229.7006819080418,93.9,91.9,93.9,99.9,12,98.5,2,balanced,1.0,0.7205848739655812,0.9641046813695016,0.9621511365306593,0.9884316636160013,0.9949662429002708,0.9956021071096095,0.9952205885840062,10.557901622307215,763.882944747583,732.9727479843168,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,Junalla työmatka ilman ruuhkaa ja keskustapysäköinnin vaivaa.,0.73,keskitaso,fallback_default_share,statfin_commuting_missing; od_sample_missing,1,balanced_jspi,1,erittäin korkea,60.26568746852462,25.01591389966696,nearby_rail_station_or_station_area
00700,00700,Malmi,091,60.25529901866859,25.011564559977366,14539.0,6050.0,2117.5,0.722552872785795,1373.7338467229151,93.6,91.6,93.6,100.0,2,98.1,5,balanced,1.0,0.7187170290929787,0.958401781178028,0.958401781178028,0.9841525879314675,0.9996620652187491,0.9988514920948908,0.9993378359692058,72.86942216020844,402.4124916796623,354.3592254621546,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,Junalla työmatka ilman ruuhkaa ja keskustapysäköinnin vaivaa.,0.73,keskitaso,fallback_default_share,statfin_commuting_missing; od_sample_missing,2,balanced_jspi,2,erittäin korkea,60.25529901866859,25.011564559977366,nearby_rail_station_or_station_area
00520,00520,Itä- ja Keski-Pasila,091,60.19683598847282,24.941082856166066,8732.0,4865.0,1702.75,0.7224536203048753,1107.1421117767138,93.5,91.5,93.5,99.1,40,98.5,1,balanced,1.0,0.7185567512703137,0.9580756683604184,0.9384182425927204,0.9999999999999999,1.0,1.0,1.0,37.43277679555026,445.1447000338317,390.9842016635767,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,Junalla työmatka ilman ruuhkaa ja keskustapysäköinnin vaivaa.,0.73,keskitaso,fallback_default_share,statfin_commuting_missing; od_sample_missing,3,balanced_jspi,3,erittäin korkea,60.19683598847282,24.941082856166066,nearby_rail_station_or_station_area
00240,00240,Länsi-Pasila,091,60.20453420453918,24.924860881297576,10171.0,5549.0,1942.1499999999999,0.7208934506326243,1259.4642402374436,93.4,91.3,93.4,99.8,16,98.2,4,balanced,1.0,0.7120809930648123,0.9494080590701354,0.9494080590701354,0.9989041572632569,1.0,0.9997372177118952,0.999894887084758,153.30371755457722,418.854851655321,425.0643865331287,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,Junalla työmatka ilman ruuhkaa ja keskustapysäköinnin vaivaa.,0.73,keskitaso,fallback_default_share,statfin_commuting_missing; od_sample_missing,4,balanced_jspi,4,erittäin korkea,60.20453420453918,24.924860881297576,nearby_rail_station_or_station_area
00410,00410,Malminkartano,091,60.25102989012809,24.85574128170586,10016.0,4322.0,1512.6999999999998,0.723370755180186,973.293683993872,93.3,91.3,93.3,99.0,43,98.3,3,balanced,1.0,0.7163179691885985,0.9591879455854816,0.9212000001557262,0.9937684572991635,0.994025625210005,0.9961144101918364,0.9948611392027376,128.35221106365552,346.1071225137267,185.04568530405865,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,Junalla työmatka ilman ruuhkaa ja keskustapysäköinnin vaivaa.,0.73,keskitaso,fallback_default_share,statfin_commuting_missing; od_sample_missing,5,balanced_jspi,5,erittäin korkea,60.25102989012809,24.85574128170586,nearby_rail_station_or_station_area
00550,00550,Vallila - Hermanni,091,60.1972436633222,24.96020600918856,8808.0,4896.0,1713.6,0.7216583746403034,1081.3479917234795,93.2,91.2,93.2,99.1,41,97.8,8,balanced,1.0,0.7125643024310204,0.9536576368905744,0.9350678151727796,0.9918796093314379,0.9926178266649437,0.9835951703665413,0.9890087641455827,30.002355794225167,1403.6977305112819,283.87077520674575,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,Junalla työmatka ilman ruuhkaa ja keskustapysäköinnin vaivaa.,0.73,keskitaso,fallback_default_share,statfin_commuting_missing; od_sample_missing,6,balanced_jspi,6,erittäin korkea,60.1972436633222,24.96020600918856,nearby_rail_station_or_station_area
00320,00320,Etelä-Haaga,091,60.21724759732334,24.896718280381087,10897.0,5987.0,2095.45,0.7183105350661825,1350.8603844890442,92.9,90.6,92.9,99.9,9,97.7,10,balanced,1.0,0.7014364135102891,0.9350585281454582,0.9350585281454582,0.9977899754345526,1.0,0.9984758451272777,0.999390338050911,140.26460989505753,206.7449345887937,129.72663983985683,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,Junalla työmatka ilman ruuhkaa ja keskustapysäköinnin vaivaa.,0.73,keskitaso,fallback_default_share,statfin_commuting_missing; od_sample_missing,7,balanced_jspi,7,erittäin korkea,60.21724759732334,24.896718280381087,nearby_rail_station_or_station_area
00100,00100,Helsinki keskusta - Etu-Töölö,091,60.1704070554749,24.923510858314422,18492.0,10107.0,3537.45,0.7179196099959027,2268.1889669642082,92.7,90.4,92.7,100.0,1,97.5,13,balanced,1.0,0.6987909376232668,0.9328867221994596,0.9328867221994596,0.9976440960896041,0.9977494446342963,0.9958496135153204,0.996989512186706,101.64892417735614,943.0494026657238,420.8030132350022,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,Junalla työmatka ilman ruuhkaa ja keskustapysäköinnin vaivaa.,0.73,keskitaso,fallback_default_share,statfin_commuting_missing; od_sample_missing,8,balanced_jspi,8,erittäin korkea,60.1704070554749,24.923510858314422,nearby_rail_station_or_station_area
00710,00710,Pihlajamäki - Viikinmäki,091,60.23218742672527,24.99967741705093,13250.0,5599.0,1959.6499999999999,0.7181153125615614,1236.8365440533894,92.5,90.4,92.5,99.9,8,96.6,21,balanced,1.0,0.6969991126168029,0.9326020129606808,0.9326020129606808,0.991011142350033,0.9935633483208253,0.987533992759991,0.9911516060964916,58.54596870009788,1158.0830629874595,259.57148558827043,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,Junalla työmatka ilman ruuhkaa ja keskustapysäköinnin vaivaa.,0.73,keskitaso,fallback_default_share,statfin_commuting_missing; od_sample_missing,10,balanced_jspi,9,erittäin korkea,60.23218742672527,24.99967741705093,nearby_rail_station_or_station_area
00420,00420,Kannelmäki,091,60.24807303973342,24.87780964169955,13973.0,5748.0,2011.8,0.7180879502956665,1276.2667730784615,92.5,90.4,92.5,99.9,10,96.4,24,balanced,1.0,0.6978855520908397,0.932054183517717,0.932054183517717,0.9885639912610523,0.9964366602655279,0.9909616099234211,0.9942466401286851,157.74641829852118,874.5564631158352,739.2285178672037,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,Junalla työmatka ilman ruuhkaa ja keskustapysäköinnin vaivaa.,0.73,keskitaso,fallback_default_share,statfin_commuting_missing; od_sample_missing,9,balanced_jspi,10,erittäin korkea,60.24807303973342,24.87780964169955,nearby_rail_station_or_station_area
00740,00740,Siltamäki,091,60.275597472162296,24.999964110383996,10514.0,4645.0,1625.75,0.7224573464706968,948.8829054402321,92.4,90.6,92.4,98.9,50,95.6,37,balanced,0.998844818300125,0.7068557714179887,0.9525208499350312,0.9258685141655263,0.9414433730489831,0.9779046754857652,0.9445756012920603,0.9645730458082832,95.84452188633855,1920.5754715467692,1788.059330569372,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,Junalla työmatka ilman ruuhkaa ja keskustapysäköinnin vaivaa.,0.73,keskitaso,fallback_default_share,statfin_commuting_missing; od_sample_missing,11,balanced_jspi,11,erittäin korkea,60.275597472162296,24.999964110383996,nearby_rail_station_or_station_area
